,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
1525,IBD,5572.51411128581,15.1455329623945,5.37395549923702,,73.0330191420732,2015,,,
1526,IBD,5560.96329446574,14.7101402282715,5.40269190932112,,73.259443703247,2016,,,
1527,IBD,6080.71326559023,14.8612604141235,5.41780827568569,,73.4860165794436,2017,,,
1528,IBD,6429.48761275569,14.4778534251864,5.38293639349259,,73.7952368045971,2018,,,
1529,IBD,6517.95432240943,14.1095304489136,5.45720802156376,,74.0315931724484,2019,,,
1530,IBD,6236.68120499036,15.5269194763183,5.81889117609436,,73.29542288776,2020,,,
1531,IBD,7366.1147382175,14.7279815495858,5.69735415583245,,71.974522937271,2021,,,
1532,IBD,7745.39306575372,14.1957921032026,5.55008061997615,,74.251561351988,2022,,,
1533,IBD,7964.73675347128,13.4134232980856,,,74.5209699459191,2023,,,
1534,IBD,8253.92125275536,15.0780898232799,,,,2024,,,
1535,IBT,3712.16834474718,15.9758176659065,5.03808665029501,,68.9258375211718,2010,,,
1536,IBT,4320.70980905537,15.0819897651672,4.99305610679065,,69.2348841118727,2011,,,
1537,IBT,4529.03358074522,15.7451200485229,5.04796639732243,,69.5733667063985,2012,,,
1538,IBT,4729.04246964317,15.2219400405884,5.14223002903833,,69.8687516644892,2013,,,
1539,IBT,4841.00103049456,15.6754169546723,5.17438046028123,,70.1205938524779,2014,,,
1540,IBT,4494.44119703311,15.6922197341919,5.26669123979061,,70.3718991784647,2015,,,
1541,IBT,4467.69831583104,15.5377902984619,5.29062794382956,,70.6142743615375,2016,,,
1542,IBT,4853.16565473343,15.5590081594596,5.3041119055262,,70.8311670216616,2017,,,
1543,IBT,5111.82139451166,15.6013185527943,5.25673685186666,,71.153328289214,2018,,,
1544,IBT,5169.58132257986,14.2717185267026,5.32515364747832,,71.3942743859044,2019,,,
1545,IBT,4932.64621363092,15.0179139861907,5.67793303994023,,70.7491565630532,2020,,,
1546,IBT,5764.25548879941,14.7961370016582,5.59005565304359,,69.6682599282971,2021,,,
1547,IBT,6043.77728725502,14.2361097335815,5.44657164384059,,71.6779222363782,2022,,,
1548,IBT,6157.39821498709,13.8587750080111,,,72.0008209186498,2023,,,
